12	16008
1212	23288
121212	33160
12121212	44608
1212121212	54720
1212121223	3166112
12121223	2640320
1212122312	3003616
1212122313	1810560
1212122323	3108352
121223	1999608
12122312	2472848
1212231212	3020608
1212231213	1727744
1212231223	2687136
12122313	1500128
1212231312	1690400
1212231313	1811616
1212231323	1708352
12122323	2594080
1212232312	2710432
1212232313	1760800
1212232323	3196096
1223	1424100
122312	1845624
12231212	2470880
1223121212	3031232
1223121213	1658912
1223121223	2442688
12231213	1404528
1223121312	1621440
1223121313	1667488
1223121323	1510720
12231223	2205024
1223122312	2443648
1223122313	1549696
1223122323	2618528
122313	1116096
12231312	1362080
1223131212	1658336
1223131213	1525664
1223131223	1464160
12231313	1480672
1223131312	1536640
1223131313	1791456
1223131323	1542880
12231323	1399568
1223132312	1472064
1223132313	1538912
1223132323	1670560
122323	1971144
12232312	2216304
1223231212	2633056
1223231213	1552960
1223231223	2436160
12232313	1450048
1223231312	1523296
1223231313	1693312
1223231323	1632320
12232323	2658144
1223232312	2458368
1223232313	1677152
1223232323	3168576
